branch,rating,percentage
Universal Studios Florida,5.0,58.71
Universal Studios Florida,4.0,22.66
Universal Studios Florida,3.0,9.67
Universal Studios Florida,1.0,4.49
Universal Studios Florida,2.0,4.47
Universal Studios Japan,5.0,45.84
Universal Studios Japan,4.0,33.8
Universal Studios Japan,3.0,12.3
Universal Studios Japan,1.0,4.28
Universal Studios Japan,2.0,3.78
Universal Studios Singapore,5.0,51.72
Universal Studios Singapore,4.0,32.01
Universal Studios Singapore,3.0,10.87
Universal Studios Singapore,2.0,2.83
Universal Studios Singapore,1.0,2.57
